"X","BA","BE","GP","TI","SO","CT","CY","CL","SP","HO","Scope","Method","DevelopmentalStage","Study.Focus","Expt.Factors","Conservation.Relevance","Partner","FocalSpp","Focal.Fam","AB","SN","EI","BN","PD","PY","VL","IS","BP","EP","AR","DI","D2","EA","UT","PM","OA","HC","HP","DA","Expt.Factors.Stress","NumStress","Interaction","NumStressInt"
"Bailey, GF; Bilsky, AM; Rowland, MB; Poole, AZ",NA,NA,NA,"Characterization and expression of tyrosinase-like genes in the anemone Exaiptasia pallida as a function of health and symbiotic state","DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY","","","","","","single organism","qRT-PCR","adult","disease","infection status;symbiotic state","biomarker","Anemone host","Aiptasia","Aiptasiidae","Coral disease is a major threat to reef ecosystems and therefore, understanding the cellular pathways underlying disease progression and resistance is critical to mitigating future outbreaks. This study focused on tyrosinase-like proteins in cnidarians, which contribute to melanin synthesis, an invertebrate innate immune defense. Specifically, characterization and phylogenetic analysis of cnidarian tyrosinases were performed, and their role in symbiosis and a ""mystery disease"" in the anemone Exaiptasia pallida was investigated using qPCR. The results reveal a diversity of tyrosinase-like proteins in cnidarians that separate into two major clades on a phylogenetic tree, suggesting functional divergence. Two E. pallida sequences, Ep_Tyr1 and Ep_Tyr2, were further investigated, and qPCR results revealed no gene expression differences as a function of symbiotic state, but decreased expression in late disease stages. Overall this work provides evidence for the participation of tyrosinases in the cnidarian immune response.","0145-305X","1879-0089",NA,"DEC",2019,101,"",NA,"","103459","10.1016/j.dci.2019.103459",NA,"","WOS:000488141600016",31377102,NA,NA,NA,NA,"infection status",1,"none",1
"Gornik, SG; Bergheim, BG; Morel, B; Stamatakis, A; Foulkes, NS; Guse, A",NA,NA,NA,"Photoreceptor Diversification Accompanies the Evolution of Anthozoa","MOLECULAR BIOLOGY AND EVOLUTION","","","","","","single organism","qRT-PCR","adult","circadian rhythm","light:dark",NA,"Anemone host","Aiptasia","Aiptasiidae","Anthozoan corals are an ecologically important group of cnidarians, which power the productivity of reef ecosystems. They are sessile, inhabit shallow, tropical oceans and are highly dependent on sun- and moonlight to regulate sexual reproduction, phototaxis, and photosymbiosis. However, their exposure to high levels of sunlight also imposes an increased risk of UV-induced DNA damage. How have these challenging photic environments influenced photoreceptor evolution and function in these animals? To address this question, we initially screened the cnidarian photoreceptor repertoire for Anthozoa-specific signatures by a broad-scale evolutionary analysis. We compared transcriptomic data of more than 36 cnidarian species and revealed a more diverse photoreceptor repertoire in the anthozoan subphylum than in the subphylum Medusozoa. We classified the three principle opsin classes into distinct subtypes and showed that Anthozoa retained all three classes, which diversified into at least six subtypes. In contrast, in Medusozoa, only one class with a single subtype persists. Similarly, in Anthozoa, we documented three photolyase classes and two cryptochrome (CRY) classes, whereas CRYs are entirely absent in Medusozoa. Interestingly, we also identified one anthozoan CRY class, which exhibited unique tandem duplications of the core functional domains. We next explored the functionality of anthozoan photoreceptors in the model species Exaiptasia diaphana (Aiptasia), which recapitulates key photo-behaviors of corals. We show that the diverse opsin genes are differentially expressed in important life stages common to reef-building corals and Aiptasia and that CRY expression is light regulated. We thereby provide important clues linking coral evolution with photoreceptor diversification.","0737-4038","1537-1719",NA,"MAY",2021,38,"5",1744,"1760","","10.1093/molbev/msaa304",NA,"","WOS:000654668800004",33226083,NA,NA,NA,NA,NA,NA,"none",NA
"Seneca, F; Davtian, D; Boyer, L; Czerucka, D",NA,NA,NA,"Gene expression kinetics of Exaiptasia pallida innate immune response to Vibrio parahaemolyticus infection","BMC GENOMICS","","","","","","single organism","shotgun RNAseq","adult","disease","pathogen;time course",NA,"Anemone host","Aiptasia","Aiptasiidae","BackgroundRecent sequencing projects on early-diverging metazoans such as cnidarians, have unveiled a rich innate immunity gene repertoire; however, little is known about immunity gene regulation in the host's early response against marine bacterial pathogens over time. Here, we used RNA-seq on the sea anemone Exaiptasia pallida (Ep) strain CC7 as a model to depict the innate immune response during the onset of infection with the marine pathogenic bacteria Vibrio parahaemolyticus (Vp) clinical strain O3:K6, and lipopolysaccharides (LPS) exposure. Pairwise and time series analyses identified the genes responsive to infection as well as the kinetics of innate immune genes over time. Comparisons between the responses to live Vp and purified LPS was then performed.ResultsGene expression and functional analyses detected hundreds to thousands of genes responsive to the Vp infection after 1, 3, 6 and 12h, including a few shared with the response to LPS. Our results bring to light the first indications that non-canonical cytoplasmic pattern recognition receptors (PRRs) such as NOD-like and RIG-I-like receptor homologs take part in the immune response of Ep. Over-expression of several members of the lectin-complement pathways in parallel with novel transmembrane and Ig containing ficolins (CniFLs) suggest an active defense against the pathogen. Although lacking typical Toll-like receptors (TLRs), Ep activates a TLR-like pathway including the up-regulation of MyD88, TRAF6, NF-kappa B and AP-1 genes, which are not induced under LPS treatment and therefore suggest an alternative ligand-to-PRR trigger. Two cytokine-dependent pathways involving Tumor necrosis factor receptors (TNFRs) and several other potential downstream signaling genes likely lead to inflammation and/or apoptosis. Finally, both the extrinsic and intrinsic apoptotic pathways were strongly supported by over-expression of effector and executioner genes.ConclusionsTo our knowledge, this pioneering study is first to follow the kinetics of the innate immune response in a cnidarian during the onset of infection with a bacterial pathogen. Overall, our findings reveal the involvement of both novel immune gene candidates such as NLRs, RLRs and CniFLs, and previously identified TLR-like and apoptotic pathways in anthozoan innate immunity with a large amount of transcript-level evidence.","1471-2164","",NA,"9-Nov",2020,21,"1",NA,"","768","10.1186/s12864-020-07140-6",NA,"","WOS:000590724100001",33167855,NA,NA,NA,NA,"pathogen",1,"none",1
"Kitchen, SA; Poole, AZ; Weis, VM",NA,NA,NA,"Sphingolipid Metabolism of a Sea Anemone Is Altered by the Presence of Dinoflagellate Symbionts","BIOLOGICAL BULLETIN","","","","","","single organism","qRT-PCR","adult","symbiosis","source population;symbiotic state;pharmacological",NA,"Anemone host","Aiptasia pallida","Aiptasiidae","In host-microbe interactions, signaling lipids function in interpartner communication during both the establishment and maintenance of associations. Previous evidence suggests that sphingolipids play a role in the mutualistic cnidarian-Symbiodinium symbiosis. Exogenously applied sphingolipids have been shown to alter this partnership, though endogenous host regulation of sphingolipids by the sphingosine rheostat under different symbiotic conditions has not been characterized. The rheostat regulates levels of pro-survival sphingosine-1-phosphate (S1P) and pro-apoptotic sphingosine (Sph) through catalytic activities of sphingosine kinase (SPHK) and S1P phosphatase (SGPP). The role of the rheostat in recognition and establishment of cnidarian-Symbiodinium symbiosis was investigated in the sea anemone Aiptasia pallida by measuring gene expression, protein levels, and sphingolipid metabolites in symbiotic, aposymbiotic, and newly recolonized anemones. Comparison of two host populations showed that symbiotic animals from one population had lower SGPP gene expression and Sph lipid concentrations compared to aposymbiotic animals, while the other population had higher S1P concentrations than their aposymbiotic counterparts. In both populations, the host rheostat trended toward host cell survival in the presence of symbionts. Furthermore, upregulation of both rheostat enzymes on the first day of host recolonization by symbionts suggests a role for the rheostat in host-symbiont recognition during symbiosis onset. Collectively, these data suggest a regulatory role of sphingolipid signaling in cnidarian-Symbiodinium symbiosis and symbiont uptake.","0006-3185","1939-8697",NA,"DEC",2017,233,"3",242,"254","","10.1086/695846",NA,"","WOS:000427998200006",29553817,NA,NA,NA,NA,"pharmacological",1,"none",1
"Matthews, JL; Crowder, CM; Oakley, CA; Lutz, A; Roessner, U; Meyer, E; Grossman, AR; Weis, VM; Davy, SK",NA,NA,NA,"Optimal nutrient exchange and immune responses operate in partner specificity in the cnidarian-dinoflagellate symbiosis","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","","","","","","single organism","tag-based RNAseq","adult","symbiosis","strain;symbiotic state","biomarker","Anemone host","Aiptasia","Aiptasiidae","The relationship between corals and dinoflagellates of the genus Symbiodinium is fundamental to the functioning of coral ecosystems. It has been suggested that reef corals may adapt to climate change by changing their dominant symbiont type to a more thermally tolerant one, although the capacity for such a shift is potentially hindered by the compatibility of different host-symbiont pairings. Here we combined transcriptomic and metabolomic analyses to characterize the molecular, cellular, and physiological processes that underlie this compatibility, with a particular focus on Symbiodinium trenchii, an opportunistic, thermally tolerant symbiont that flourishes in coral tissues after bleaching events. Symbiont-free individuals of the sea anemone Exaiptasia pallida (commonly referred to as Aiptasia), an established model system for the study of the cnidarian-dinoflagellate symbiosis, were colonized with the ""normal"" (homologous) symbiont Symbiodinium minutum and the heterologous S. trenchii. Analysis of the host gene and metabolite expression profiles revealed that heterologous symbionts induced an expression pattern intermediate between the typical symbiotic state and the aposymbiotic state. Furthermore, integrated pathway analysis revealed that increased catabolism of fixed carbon stores, metabolic signaling, and immune processes occurred in response to the heterologous symbiont type. Our data suggest that both nutritional provisioning and the immune response induced by the foreign ""invader"" are important factors in determining the capacity of corals to adapt to climate change through the establishment of novel symbioses.","0027-8424","",NA,"12-Dec",2017,114,"50",13194,"13199","","10.1073/pnas.1710733114",NA,"","WOS:000417806200060",29158383,NA,NA,NA,NA,NA,NA,"none",NA
"Rodriguez-Lanetty, M; Phillips, WS; Weis, VM",NA,NA,NA,"Transcriptome analysis of a cnidarian-dinoflagellate mutualism reveals complex modulation of host gene expression","BMC GENOMICS","","","","","","single organism","microarray","adult","symbiosis","symbiotic state",NA,"Anemone host","Anthopleura elegantissima","Actiniidae","Background: Cnidarian - dinoflagellate intracellular symbioses are one of the most important mutualisms in the marine environment. They form the trophic and structural foundation of coral reef ecosystems, and have played a key role in the evolutionary radiation and biodiversity of cnidarian species. Despite the prevalence of these symbioses, we still know very little about the molecular modulators that initiate, regulate, and maintain the interaction between these two different biological entities. In this study, we conducted a comparative host anemone transcriptome analysis using a cDNA microarray platform to identify genes involved in cnidarian - algal symbiosis. Results: We detected statistically significant differences in host gene expression profiles between sea anemones ( Anthopleura elegantissima) in a symbiotic and non-symbiotic state. The group of genes, whose expression is altered, is diverse, suggesting that the molecular regulation of the symbiosis is governed by changes in multiple cellular processes. In the context of cnidarian dinoflagellate symbioses, we discuss pivotal host gene expression changes involved in lipid metabolism, cell adhesion, cell proliferation, apoptosis, and oxidative stress. Conclusion: Our data do not support the existence of symbiosis- specific genes involved in controlling and regulating the symbiosis. Instead, it appears that the symbiosis is maintained by altering expression of existing genes involved in vital cellular processes. Specifically, the finding of key genes involved in cell cycle progression and apoptosis have led us to hypothesize that a suppression of apoptosis, together with a deregulation of the host cell cycle, create a platform that might be necessary for symbiont and/or symbiont-containing host cell survival. This first comprehensive molecular examination of the cnidarian - dinoflagellate associations provides critical insights into the maintenance and regulation of the symbiosis.","1471-2164","",NA,"10-Feb",2006,7,"",NA,"","23","10.1186/1471-2164-7-23",NA,"","WOS:000236183800001",16472376,NA,NA,NA,NA,NA,NA,"none",NA
"Ganot, P; Moya, A; Magnone, V; Allemand, D; Furla, P; Sabourault, C",NA,NA,NA,"Adaptations to Endosymbiosis in a Cnidarian-Dinoflagellate Association: Differential Gene Expression and Specific Gene Duplications","PLOS GENETICS","","","","","","single organism","microarray","adult","symbiosis","symbiotic state",NA,"Anemone host","Anemonia viridis","Actiniidae","Trophic endosymbiosis between anthozoans and photosynthetic dinoflagellates forms the key foundation of reef ecosystems. Dysfunction and collapse of symbiosis lead to bleaching (symbiont expulsion), which is responsible for the severe worldwide decline of coral reefs. Molecular signals are central to the stability of this partnership and are therefore closely related to coral health. To decipher inter-partner signaling, we developed genomic resources (cDNA library and microarrays) from the symbiotic sea anemone Anemonia viridis. Here we describe differential expression between symbiotic (also called zooxanthellate anemones) or aposymbiotic (also called bleached) A. viridis specimens, using microarray hybridizations and qPCR experiments. We mapped, for the first time, transcript abundance separately in the epidermal cell layer and the gastrodermal cells that host photosynthetic symbionts. Transcriptomic profiles showed large inter-individual variability, indicating that aposymbiosis could be induced by different pathways. We defined a restricted subset of 39 common genes that are characteristic of the symbiotic or aposymbiotic states. We demonstrated that transcription of many genes belonging to this set is specifically enhanced in the symbiotic cells (gastroderm). A model is proposed where the aposymbiotic and therefore heterotrophic state triggers vesicular trafficking, whereas the symbiotic and therefore autotrophic state favors metabolic exchanges between host and symbiont. Several genetic pathways were investigated in more detail: i) a key vitamin K-dependant process involved in the dinoflagellate-cnidarian recognition; ii) two cnidarian tissue-specific carbonic anhydrases involved in the carbon transfer from the environment to the intracellular symbionts; iii) host collagen synthesis, mostly supported by the symbiotic tissue. Further, we identified specific gene duplications and showed that the cnidarian-specific isoform was also up-regulated both in the symbiotic state and in the gastroderm. Our results thus offer new insight into the inter-partner signaling required for the physiological mechanisms of the symbiosis that is crucial for coral health.","1553-7390","",NA,"JUL",2011,7,"7",NA,"","e1002187","10.1371/journal.pgen.1002187",NA,"","WOS:000293338600036",21811417,NA,NA,NA,NA,NA,NA,"none",NA
"Li, Y; Liew, YJ; Cui, G; Cziesielski, MJ; Zahran, N; Michell, CT; Voolstra, CR; Aranda, M",NA,NA,NA,"DNA methylation regulates transcriptional homeostasis of algal endosymbiosis in the coral model Aiptasia","SCIENCE ADVANCES","","","","","","single organism","shotgun RNAseq","adult","symbiosis","symbiotic state",NA,"Anemone host","Aiptasia","Aiptasiidae","The symbiotic relationship between cnidarians and dinoflagellates is the cornerstone of coral reef ecosystems. Although research has focused on the molecular mechanisms underlying this symbiosis, the role of epigenetic mechanisms, that is, the study of heritable changes that do not involve changes in the DNA sequence, is unknown. To assess the role of DNA methylation in the cnidarian-dinoflagellate symbiosis, we analyzed genome-wide CpG methylation, histone associations, and transcriptomic states of symbiotic and aposymbiotic anemones in the model system Aiptasia. We found that methylated genes are marked by histone 3 lysine 36 trimethylation (H3K36me3) and show significant reduction of spurious transcription and transcriptional noise, revealing a role of DNA methylation in the maintenance of transcriptional homeostasis. Changes in DNA methylation and expression show enrichment for symbiosis-related processes, such as immunity, apoptosis, phagocytosis recognition, and phagosome formation, and reveal intricate interactions between the underlying pathways. Our results demonstrate that DNA methylation provides an epigenetic mechanism of transcriptional homeostasis that responds to symbiosis.","2375-2548","",NA,"AUG",2018,4,"8",NA,"","eaat2142","10.1126/sciadv.aat2142",NA,"","WOS:000443498100044",30116782,NA,NA,NA,NA,NA,NA,"none",NA
"Reynolds, WS; Schwarz, JA; Weis, VM",NA,NA,NA,"Symbiosis-enhanced gene expression in cnidarian-algal associations: cloning and characterization of a cDNA, sym32, encoding a possible cell adhesion protein","COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY","","","","","","single organism","qRT-PCR","adult","symbiosis","symbiotic state",NA,"Anemone host","Anthopleura elegantissima","Actiniidae","Mutualistic endosymbioses between two partners are complex associations that are regulated by the genetic interactions of the partners. One important marine symbiosis is that between various cnidarians, such as corals and anemones, and their photosynthetic algal symbionts. We have been interested in characterizing cnidarian host genes that are expressed as a function of the symbiotic state, using the temperate sea anemone Anthopleura elegantissima as a model. In this study, we report on symbiosis-enhanced expression and synthesis of sym32 in anemones. We characterized the full-length sym32 cDNA, obtained by RT-PCR, and demonstrated, by semi-quantitative RT-PCR, that sym32 transcript was much more abundant in symbiotic than in non-symbiotic host anemone RNA. Further, using immunoblots, we determined that an antibody made to a sym32 fusion protein labeled a 32 kD band much more strongly in symbiotic compared to non-symbiotic anemone protein homogenates. Databank searches revealed that the sym32 deduced amino acid sequence shares significant homology with the fasciclin I (Fas I) Family of hemophilic cell adhesion proteins, present in a variety of organisms ranging from bacteria to humans. This strong homology with the Fas I family suggests that sym32 is involved in regulation of the symbiosis by mediating cell-cell interactions. (C) 2000 Elsevier Science Inc. All rights reserved.","1095-6433","",NA,"MAY",2000,126,"1",33,"44","","10.1016/S0742-8413(00)00099-2",NA,"","WOS:000088270000003",10908850,NA,NA,NA,NA,NA,NA,"none",NA
"Lehnert, EM; Mouchka, ME; Burriesci, MS; Gallo, ND; Schwarz, JA; Pringle, JR",NA,NA,NA,"Extensive Differences in Gene Expression Between Symbiotic and Aposymbiotic Cnidarians","G3-GENES GENOMES GENETICS","","","","","","single organism","shotgun RNAseq","adult","symbiosis","symbiotic state",NA,"Anemone host","Aiptasia","Aiptasiidae","Coral reefs provide habitats for a disproportionate number of marine species relative to the small area of the oceans that they occupy. The mutualism between the cnidarian animal hosts and their intracellular dinoflagellate symbionts provides the nutritional foundation for coral growth and formation of reef structures, because algal photosynthesis can provide >90% of the total energy of the host. Disruption of this symbiosis (coral bleaching) is occurring on a large scale due primarily to anthropogenic factors and poses a major threat to the future of coral reefs. Despite the importance of this symbiosis, the cellular mechanisms involved in its establishment, maintenance, and breakdown remain largely unknown. We report our continued development of genomic tools to study these mechanisms in Aiptasia, a small sea anemone with great promise as a model system for studies of cnidarian-dinoflagellate symbiosis. Specifically, we have generated de novo assemblies of the transcriptomes of both a clonal line of symbiotic anemones and their endogenous dinoflagellate symbionts. We then compared transcript abundances in animals with and without dinoflagellates. This analysis identified >900 differentially expressed genes and allowed us to generate testable hypotheses about the cellular functions affected by symbiosis establishment. The differentially regulated transcripts include >60 encoding proteins that may play roles in transporting various nutrients between the symbiotic partners; many more encoding proteins functioning in several metabolic pathways, providing clues regarding how the transported nutrients may be used by the partners; and several encoding proteins that may be involved in host recognition and tolerance of the dinoflagellate.","2160-1836","",NA,"FEB",2014,4,"2",277,"295","","10.1534/g3.113.009084",NA,"","WOS:000331614800008",24368779,NA,NA,NA,NA,NA,NA,"none",NA
